soc_code,occupation_title,task_id,task_description,onet_importance,onet_frequency,economic_index_label,eloundou_beta
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15571,Develop methods to recover ethanol or other fuels from complex bioreactor liquid and gas streams.,2.99,2.15,unknown,1.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15572,Develop methods to estimate the efficiency of biomass pretreatments.,3.53,2.68,unknown,0.5
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15573,Design or execute solvent or product recovery experiments in laboratory or field settings.,3.02,2.68,unknown,0.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15574,"Design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation.",4.1,4.45,unknown,0.5
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15575,"Design chemical conversion processes, such as etherification, esterification, interesterification, transesterification, distillation, hydrogenation, oxidation or reduction of fats and oils, and vegetable oil refining.",3.17,2.15,none,1.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15576,Conduct experiments on biomass or pretreatment technologies.,3.71,3.69,unknown,0.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15577,Conduct experiments to test new or alternate feedstock fermentation processes.,3.51,3.32,unknown,0.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15578,"Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes.",3.97,4.2,unknown,0.5
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15579,Oversee biodiesel/biofuels prototyping or development projects.,3.58,3.3,unknown,0.5
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15580,"Propose new biofuels products, processes, technologies or applications based on findings from applied biofuels or biomass research projects.",3.8,3.04,unknown,0.5
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15581,"Conduct research to breed or develop energy crops with improved biomass yield, environmental adaptability, pest resistance, production efficiency, bioprocessing characteristics, or reduced environmental impacts.",3.39,3.51,unknown,0.5
11-9051.00,Food Service Managers,1077,Test cooked food by tasting and smelling it to ensure palatability and flavor conformity.,4.37,5.09,unknown,0.0
11-9051.00,Food Service Managers,1078,"Investigate and resolve complaints regarding food quality, service, or accommodations.",4.57,4.34,unknown,0.5
11-9051.00,Food Service Managers,1079,"Schedule and receive food and beverage deliveries, checking delivery contents to verify product quality and quantity.",4.5,4.54,unknown,0.5
11-9051.00,Food Service Managers,1080,"Monitor food preparation methods, portion sizes, and garnishing and presentation of food to ensure that food is prepared and presented in an acceptable manner.",4.51,5.92,unknown,0.0
11-9051.00,Food Service Managers,1081,"Monitor budgets and payroll records, and review financial transactions to ensure that expenditures are authorized and budgeted.",4.51,4.25,unknown,0.5
11-9051.00,Food Service Managers,1082,Schedule staff hours and assign duties.,4.32,4.31,unknown,0.5
11-9051.00,Food Service Managers,1083,"Monitor compliance with health and fire regulations regarding food preparation and serving, and building maintenance in lodging and dining facilities.",4.45,4.26,unknown,0.5
11-9051.00,Food Service Managers,1084,Coordinate assignments of cooking personnel to ensure economical use of food and timely preparation.,4.47,5.49,unknown,0.5
11-9051.00,Food Service Managers,1085,Keep records required by government agencies regarding sanitation or food subsidies.,4.63,4.43,unknown,1.0
11-9051.00,Food Service Managers,1086,Establish standards for personnel performance and customer service.,4.41,4.98,unknown,0.5
11-9051.00,Food Service Managers,1087,"Estimate food, liquor, wine, and other beverage consumption to anticipate amounts to be purchased or requisitioned.",4.3,4.24,augmentation,0.5
11-9051.00,Food Service Managers,1088,"Review work procedures and operational problems to determine ways to improve service, performance, or safety.",4.14,4.25,unknown,0.5
11-9051.00,Food Service Managers,1089,"Perform some food preparation or service tasks, such as cooking, clearing tables, and serving food and drinks when necessary.",4.38,5.72,unknown,0.0
11-9051.00,Food Service Managers,1090,"Maintain food and equipment inventories, and keep inventory records.",4.54,5.04,unknown,0.5
11-9051.00,Food Service Managers,1091,"Organize and direct worker training programs, resolve personnel problems, hire new staff, and evaluate employee performance in dining and lodging facilities.",4.15,3.88,unknown,0.5
11-9051.00,Food Service Managers,1092,Order and purchase equipment and supplies.,4.06,3.87,unknown,0.5
11-9051.00,Food Service Managers,1093,"Review menus and analyze recipes to determine labor and overhead costs, and assign prices to menu items.",4.19,3.78,unknown,0.5
11-9051.00,Food Service Managers,1094,"Record the number, type, and cost of items sold to determine which items may be unpopular or less profitable.",3.85,3.99,unknown,0.5
11-9051.00,Food Service Managers,1095,"Assess staffing needs and recruit staff, using methods such as newspaper advertisements or attendance at job fairs.",4.07,3.49,unknown,0.5
11-9051.00,Food Service Managers,1096,"Arrange for equipment maintenance and repairs, and coordinate a variety of services, such as waste removal and pest control.",4.27,3.9,unknown,0.5
11-9051.00,Food Service Managers,1097,Monitor employee and patron activities to ensure liquor regulations are obeyed.,4.75,5.66,unknown,0.0
11-9051.00,Food Service Managers,1098,"Greet guests, escort them to their seats, and present them with menus and wine lists.",4.38,6.17,unknown,0.0
11-9051.00,Food Service Managers,1099,"Establish and enforce nutritional standards for dining establishments, based on accepted industry standards.",3.95,4.1,unknown,0.5
11-9051.00,Food Service Managers,1100,"Plan menus and food utilization, based on anticipated number of guests, nutritional value, palatability, popularity, and costs.",4.04,3.81,unknown,0.5
11-9051.00,Food Service Managers,1103,"Schedule use of facilities or catering services for events such as banquets or receptions, and negotiate details of arrangements with clients.",4.21,3.93,unknown,0.5
11-9051.00,Food Service Managers,15199,Count money and make bank deposits.,4.42,5.13,unknown,0.0
11-9071.00,Gambling Managers,20472,Market or promote the casino to bring in business.,4.18,4.32,none,0.5
11-9071.00,Gambling Managers,7185,"Resolve customer complaints regarding problems, such as payout errors.",4.59,4.65,unknown,0.5
11-9071.00,Gambling Managers,7186,"Remove suspected cheaters, such as card counters or other players who may have systems that shift the odds of winning to their favor.",4.47,3.42,unknown,0.0
11-9071.00,Gambling Managers,7187,"Maintain familiarity with all games used at a facility, as well as strategies or tricks employed in those games.",4.26,4.83,unknown,1.0
11-9071.00,Gambling Managers,7188,Train new workers or evaluate their performance.,4.23,3.86,unknown,0.5
11-9071.00,Gambling Managers,7189,"Circulate among gaming tables to ensure that operations are conducted properly, that dealers follow house rules, or that players are not cheating.",4.44,5.85,unknown,0.0
11-9071.00,Gambling Managers,7190,"Explain and interpret house rules, such as game rules or betting limits.",4.36,4.91,unknown,1.0
11-9071.00,Gambling Managers,7191,"Monitor staffing levels to ensure that games and tables are adequately staffed for each shift, arranging for staff rotations and breaks and locating substitute employees as necessary.",4.27,5.38,unknown,0.5
11-9071.00,Gambling Managers,7192,Interview and hire workers.,4.16,2.69,unknown,0.5
11-9071.00,Gambling Managers,7193,Prepare work schedules and station arrangements and keep attendance records.,4.29,4.75,unknown,1.0
11-9071.00,Gambling Managers,7194,"Direct the distribution of complimentary hotel rooms, meals, or other discounts or free items given to players, based on their length of play and betting totals.",4.12,4.72,unknown,0.5
11-9071.00,Gambling Managers,7195,"Establish policies on issues, such as the type of gambling offered and the odds, the extension of credit, or the serving of food and beverages.",4.03,4.29,unknown,0.5
11-9071.00,Gambling Managers,7196,Track supplies of money to tables and perform any required paperwork.,4.37,5.59,unknown,1.0
11-9071.00,Gambling Managers,7197,Set and maintain a bank and table limit for each game.,4.37,4.93,unknown,1.0
11-9071.00,Gambling Managers,7198,Monitor credit extended to players.,3.92,4.73,unknown,0.5
11-9071.00,Gambling Managers,7199,"Review operational expenses, budget estimates, betting accounts, or collection reports for accuracy.",4.23,4.3,unknown,0.5
11-9071.00,Gambling Managers,7200,"Record, collect, or pay off bets, issuing receipts as necessary.",4.18,4.85,unknown,0.0
11-9071.00,Gambling Managers,7201,Direct the compilation of summary sheets that show wager amounts and payoffs for races or events.,4.27,4.59,unknown,1.0
11-9071.00,Gambling Managers,7202,Notify board attendants of table vacancies so that waiting patrons can play.,4.1,5.06,unknown,0.0
11-9081.00,Lodging Managers,1104,Greet and register guests.,4.48,5.39,unknown,0.5
11-9081.00,Lodging Managers,1105,"Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",4.53,5.01,none,0.5
11-9081.00,Lodging Managers,1106,"Assign duties to workers, and schedule shifts.",4.23,4.63,unknown,0.5
11-9081.00,Lodging Managers,1107,"Coordinate front-office activities of hotels or motels, and resolve problems.",4.36,5.18,unknown,0.5
11-9081.00,Lodging Managers,1108,"Participate in financial activities, such as the setting of room rates, the establishment of budgets, and the allocation of funds to departments.",4.5,4.1,unknown,0.5
11-9081.00,Lodging Managers,1109,Confer and cooperate with other managers to ensure coordination of hotel activities.,4.48,5.29,unknown,0.0
11-9081.00,Lodging Managers,1111,Manage and maintain temporary or permanent lodging facilities.,4.42,4.67,unknown,0.5
11-9081.00,Lodging Managers,1112,Observe and monitor staff performance to ensure efficient operations and adherence to facility's policies and procedures.,4.38,5.59,unknown,0.5
11-9081.00,Lodging Managers,1113,Train staff members.,4.41,4.25,unknown,0.0
11-9081.00,Lodging Managers,1114,"Show, rent, or assign accommodations.",3.97,5.18,unknown,0.5
11-9081.00,Lodging Managers,1115,Develop and implement policies and procedures for the operation of a department or establishment.,4.05,4.29,none,0.5
11-9081.00,Lodging Managers,1116,"Inspect guest rooms, public areas, and grounds for cleanliness and appearance.",4.3,4.83,unknown,0.5
11-9081.00,Lodging Managers,1117,Prepare required paperwork pertaining to departmental functions.,4.02,4.99,unknown,1.0
11-9081.00,Lodging Managers,1118,Interview and hire applicants.,4.14,2.54,unknown,0.5
11-9081.00,Lodging Managers,1119,"Purchase supplies, and arrange for outside services, such as deliveries, laundry, maintenance and repair, and trash collection.",4.12,4.17,unknown,0.5
11-9081.00,Lodging Managers,1120,"Arrange telephone answering services, deliver mail and packages, or answer questions regarding locations for eating and entertainment.",3.54,4.98,unknown,0.5
11-9081.00,Lodging Managers,1121,Perform marketing and public relations activities.,3.96,4.23,unknown,0.5
11-9081.00,Lodging Managers,1122,Organize and coordinate the work of staff and convention personnel for meetings to be held at a particular facility.,3.93,4.29,unknown,0.5
11-9081.00,Lodging Managers,1123,"Receive and process advance registration payments, mail letters of confirmation, or return checks when registrations cannot be accepted.",4.16,4.42,unknown,0.5
11-9081.00,Lodging Managers,1124,"Meet with clients to schedule and plan details of conventions, banquets, receptions and other functions.",4.43,4.34,none,0.5
11-9081.00,Lodging Managers,1125,"Provide assistance to staff members by inspecting rooms, setting tables, or doing laundry.",3.77,4.33,unknown,0.0
11-9081.00,Lodging Managers,1126,Book tickets for guests for local tours and attractions.,2.7,2.38,unknown,0.5
11-9081.00,Lodging Managers,18599,Monitor the revenue activity of the hotel or facility.,4.47,4.86,unknown,0.5
11-9081.00,Lodging Managers,18600,Collect payments and record data pertaining to funds and expenditures.,4.06,4.44,unknown,0.5
11-9111.00,Medical and Health Services Managers,46,"Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.",4.43,5.15,unknown,0.5
11-9111.00,Medical and Health Services Managers,47,Establish objectives and evaluative or operational criteria for units managed.,3.96,3.22,unknown,0.5
11-9111.00,Medical and Health Services Managers,48,"Direct or conduct recruitment, hiring, and training of personnel.",4.07,2.63,unknown,0.5
11-9111.00,Medical and Health Services Managers,49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",4.31,4.5,unknown,0.5
11-9111.00,Medical and Health Services Managers,50,Develop and implement organizational policies and procedures for the facility or medical unit.,3.92,2.69,none,0.5
11-9111.00,Medical and Health Services Managers,51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",4.16,3.36,unknown,0.5
11-9111.00,Medical and Health Services Managers,52,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",4.11,4.25,unknown,0.5
11-9111.00,Medical and Health Services Managers,53,"Maintain communication between governing boards, medical staff, and department heads by attending board meetings and coordinating interdepartmental functioning.",4.04,3.56,unknown,0.0
11-9111.00,Medical and Health Services Managers,54,"Monitor the use of diagnostic services, inpatient beds, facilities, and staff to ensure effective use of resources and assess the need for additional staff, equipment, and services.",4.11,4.0,unknown,0.5
11-9111.00,Medical and Health Services Managers,55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",4.16,3.6,augmentation,0.5
11-9111.00,Medical and Health Services Managers,56,"Manage change in integrated health care delivery systems, such as work restructuring, technological innovations, and shifts in the focus of care.",4.07,3.33,unknown,0.5
11-9111.00,Medical and Health Services Managers,57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",3.78,3.19,augmentation,0.5
11-9111.00,Medical and Health Services Managers,58,"Plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.",4.21,4.46,unknown,0.5
11-9111.00,Medical and Health Services Managers,59,"Consult with medical, business, and community groups to discuss service problems, respond to community needs, enhance public relations, coordinate activities and plans, and promote health programs.",3.52,3.0,unknown,0.0
11-9111.00,Medical and Health Services Managers,60,"Inspect facilities and recommend building or equipment modifications to ensure emergency readiness and compliance to access, safety, and sanitation regulations.",3.76,2.82,unknown,0.0
11-9111.00,Medical and Health Services Managers,61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,3.83,3.17,unknown,0.5
11-9111.00,Medical and Health Services Managers,62,"Develop or expand and implement medical programs or health services that promote research, rehabilitation, and community health.",3.73,3.14,unknown,0.5
11-9111.00,Medical and Health Services Managers,63,Develop instructional materials and conduct in-service and community-based educational programs.,3.41,2.45,augmentation,0.5
11-9121.00,Natural Sciences Managers,7203,"Confer with scientists, engineers, regulators, or others to plan or review projects or to provide technical assistance.",4.03,4.13,unknown,0.5
11-9121.00,Natural Sciences Managers,7204,"Develop client relationships and communicate with clients to explain proposals, present research findings, establish specifications, or discuss project status.",3.97,3.26,augmentation,0.5
11-9121.00,Natural Sciences Managers,7205,"Plan or direct research, development, or production activities.",4.21,4.32,unknown,0.5
11-9121.00,Natural Sciences Managers,7206,Prepare project proposals.,3.86,2.17,augmentation,1.0
11-9121.00,Natural Sciences Managers,7207,"Design or coordinate successive phases of problem analysis, solution proposals, or testing.",4.23,4.11,augmentation,0.5
11-9121.00,Natural Sciences Managers,7208,"Review project activities and prepare and review research, testing, or operational reports.",4.09,4.14,none,0.5
11-9121.00,Natural Sciences Managers,7209,"Hire, supervise, or evaluate engineers, technicians, researchers, or other staff.",4.31,3.58,unknown,0.5
11-9121.00,Natural Sciences Managers,7210,Determine scientific or technical goals within broad outlines provided by top management and make detailed plans to accomplish these goals.,3.92,3.36,unknown,0.5
11-9121.00,Natural Sciences Managers,7211,"Develop or implement policies, standards, or procedures for the architectural, scientific, or technical work performed to ensure regulatory compliance or operations enhancement.",3.71,2.99,unknown,0.5
11-9121.00,Natural Sciences Managers,7212,Develop innovative technology or train staff for its implementation.,3.3,2.82,unknown,0.5
11-9121.00,Natural Sciences Managers,7213,"Provide for stewardship of plant or animal resources or habitats, studying land use, monitoring animal populations, or providing shelter, resources, or medical treatment for animals.",4.16,4.09,unknown,0.5
11-9121.00,Natural Sciences Managers,7214,Conduct own research in field of expertise.,3.53,3.4,none,1.0
11-9121.00,Natural Sciences Managers,7215,Recruit personnel or oversee the development or maintenance of staff competence.,3.57,2.9,unknown,0.5
11-9121.00,Natural Sciences Managers,7216,Advise or assist in obtaining patents or meeting other legal requirements.,3.05,2.0,augmentation,0.5
11-9121.00,Natural Sciences Managers,7217,"Prepare and administer budgets, approve and review expenditures, and prepare financial reports.",3.54,2.9,unknown,0.5
11-9121.00,Natural Sciences Managers,7218,Make presentations at professional meetings to further knowledge in the field.,3.24,1.85,unknown,0.5
11-9121.01,Clinical Research Coordinators,15582,Solicit industry-sponsored trials through contacts and professional organizations.,3.22,2.75,unknown,0.5
11-9121.01,Clinical Research Coordinators,15583,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",3.48,2.32,none,0.5
11-9121.01,Clinical Research Coordinators,15584,Register protocol patients with appropriate statistical centers as required.,3.48,3.34,unknown,1.0
11-9121.01,Clinical Research Coordinators,15585,"Prepare for or participate in quality assurance audits conducted by study sponsors, federal agencies, or specially designated review groups.",3.93,2.33,unknown,0.5
11-9121.01,Clinical Research Coordinators,15586,Participate in preparation and management of research budgets and monetary disbursements.,3.08,2.69,unknown,0.5
11-9121.01,Clinical Research Coordinators,15587,"Perform specific protocol procedures such as interviewing subjects, taking vital signs, and performing electrocardiograms.",4.42,4.39,unknown,0.0
11-9121.01,Clinical Research Coordinators,15588,Interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.,3.73,3.74,augmentation,0.5
11-9121.01,Clinical Research Coordinators,15589,Develop advertising and other informational materials to be used in subject recruitment.,3.27,2.15,none,1.0
11-9121.01,Clinical Research Coordinators,15590,Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.,3.58,2.85,unknown,0.5
11-9121.01,Clinical Research Coordinators,15591,Confer with health care professionals to determine the best recruitment practices for studies.,3.63,2.6,unknown,0.5
11-9121.01,Clinical Research Coordinators,15592,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,4.08,3.99,unknown,0.5
11-9121.01,Clinical Research Coordinators,15593,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",4.22,3.16,unknown,0.5
11-9121.01,Clinical Research Coordinators,15594,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,4.35,3.21,unknown,0.5
11-9121.01,Clinical Research Coordinators,15595,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",4.41,3.56,unknown,1.0
11-9121.01,Clinical Research Coordinators,15596,Participate in the development of study protocols including guidelines for administration or data collection procedures.,3.74,2.7,unknown,0.5
11-9121.01,Clinical Research Coordinators,15597,Oversee subject enrollment to ensure that informed consent is properly obtained and documented.,4.32,3.83,unknown,0.5
11-9121.01,Clinical Research Coordinators,15598,Order drugs or devices necessary for study completion.,3.85,3.06,unknown,0.5
11-9121.01,Clinical Research Coordinators,15599,Organize space for study equipment and supplies.,3.38,3.4,unknown,0.0
11-9121.01,Clinical Research Coordinators,15600,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,3.96,3.28,unknown,1.0
11-9121.01,Clinical Research Coordinators,15601,"Instruct research staff in scientific and procedural aspects of studies including standards of care, informed consent procedures, or documentation procedures.",4.01,3.42,unknown,0.5
11-9121.01,Clinical Research Coordinators,15602,Inform patients or caregivers about study aspects and outcomes to be expected.,4.38,4.37,augmentation,0.5
11-9121.01,Clinical Research Coordinators,15603,"Identify protocol problems, inform investigators of problems, or assist in problem resolution efforts, such as protocol revisions.",4.25,3.31,unknown,0.5
11-9121.01,Clinical Research Coordinators,15604,"Dispense medical devices or drugs, and calculate dosages and provide instructions as necessary.",4.26,3.98,unknown,0.5
11-9121.01,Clinical Research Coordinators,15605,"Direct the requisition, collection, labeling, storage, or shipment of specimens.",4.05,3.43,unknown,0.0
11-9121.01,Clinical Research Coordinators,15606,Contact outside health care providers and communicate with subjects to obtain follow-up information.,3.74,3.68,unknown,0.5
11-9121.01,Clinical Research Coordinators,15607,Communicate with laboratories or investigators regarding laboratory findings.,3.62,3.89,augmentation,0.5
11-9121.01,Clinical Research Coordinators,15608,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",4.11,3.17,augmentation,0.5
11-9121.01,Clinical Research Coordinators,15609,"Code, evaluate, or interpret collected study data.",4.07,3.76,automation,1.0
11-9121.01,Clinical Research Coordinators,15610,"Assess eligibility of potential subjects through methods such as screening interviews, reviews of medical records, or discussions with physicians and nurses.",4.41,4.61,unknown,0.5
11-9121.01,Clinical Research Coordinators,15611,Arrange for research study sites and determine staff or equipment availability.,3.83,3.13,unknown,0.5
11-9121.01,Clinical Research Coordinators,15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",4.49,4.38,unknown,0.5
11-9121.01,Clinical Research Coordinators,15613,"Monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices.",4.34,4.19,unknown,0.5
11-9121.01,Clinical Research Coordinators,15614,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",4.27,4.17,unknown,0.5
11-9121.02,Water Resource Specialists,15615,Supervise teams of workers who capture water from wells and rivers.,3.0,1.88,unknown,0.0
11-9121.02,Water Resource Specialists,15616,"Review or evaluate designs for water detention facilities, storm drains, flood control facilities, or other hydraulic structures.",3.81,2.82,unknown,0.5
11-9121.02,Water Resource Specialists,15617,Negotiate for water rights with communities or water facilities to meet water supply demands.,3.0,1.39,unknown,0.5
11-9121.02,Water Resource Specialists,15618,"Perform hydrologic, hydraulic, or water quality modeling.",4.36,3.64,unknown,0.5
11-9121.02,Water Resource Specialists,15619,"Compile water resource data, using geographic information systems (GIS) or global position systems (GPS) software.",3.35,2.7,unknown,0.5
11-9121.02,Water Resource Specialists,15620,Compile and maintain documentation on the health of a body of water.,3.42,2.16,unknown,0.5
11-9121.02,Water Resource Specialists,15621,"Write proposals, project reports, informational brochures, or other documents on wastewater purification, water supply and demand, or other water resource subjects.",3.57,2.86,unknown,1.0
11-9121.02,Water Resource Specialists,15622,"Recommend new or revised policies, procedures, or regulations to support water resource or conservation goals.",3.29,2.14,unknown,0.5
11-9121.02,Water Resource Specialists,15623,Provide technical expertise to assist communities in the development or implementation of storm water monitoring or other water programs.,3.52,2.62,augmentation,0.5
11-9121.02,Water Resource Specialists,15624,"Present water resource proposals to government, public interest groups, or community groups.",3.68,2.32,none,0.5
11-9121.02,Water Resource Specialists,15625,"Identify methods for distributing purified wastewater into rivers, streams, or oceans.",2.88,1.69,unknown,0.5
11-9121.02,Water Resource Specialists,15626,"Monitor water use, demand, or quality in a particular geographic area.",3.0,2.0,unknown,0.5
11-9121.02,Water Resource Specialists,15627,Identify and characterize specific causes or sources of water pollution.,3.38,2.14,unknown,0.5
11-9121.02,Water Resource Specialists,15628,Develop plans to protect watershed health or rehabilitate watersheds.,3.67,3.0,unknown,0.5
11-9121.02,Water Resource Specialists,15629,Develop or implement standardized water monitoring and assessment methods.,3.14,2.0,unknown,0.5
11-9121.02,Water Resource Specialists,15630,Conduct technical studies for water resources on topics such as pollutants and water treatment options.,3.81,2.65,unknown,0.5
11-9121.02,Water Resource Specialists,15631,"Conduct, or oversee the conduct of, investigations on matters such as water storage, wastewater discharge, pollutants, permits, or other compliance and regulatory issues.",3.91,3.14,unknown,0.5
11-9121.02,Water Resource Specialists,15632,Conduct cost-benefit studies for watershed improvement projects or water management alternatives.,3.57,2.38,unknown,0.5
11-9121.02,Water Resource Specialists,15633,Analyze storm water systems to identify opportunities for water resource improvements.,4.09,3.05,unknown,0.5
11-9121.02,Water Resource Specialists,15634,Develop strategies for watershed operations to meet water supply and conservation goals or to ensure regulatory compliance with clean water laws or regulations.,3.82,2.95,unknown,0.5
11-9121.02,Water Resource Specialists,15635,"Conduct, or oversee the conduct of, chemical, physical, and biological water quality monitoring or sampling to ensure compliance with water quality standards.",3.35,2.45,augmentation,0.5
11-9131.00,Postmasters and Mail Superintendents,20842,Monitor employees' work schedules and attendance for payroll purposes.,4.69,5.29,unknown,0.5
11-9131.00,Postmasters and Mail Superintendents,5260,"Organize and supervise activities, such as the processing of incoming and outgoing mail.",4.65,5.53,unknown,0.5
11-9131.00,Postmasters and Mail Superintendents,5261,"Direct and coordinate operational, management, and supportive services of one or a number of postal facilities.",4.49,5.55,unknown,0.5
11-9131.00,Postmasters and Mail Superintendents,5262,Resolve customer complaints.,4.55,4.92,augmentation,0.5
11-9131.00,Postmasters and Mail Superintendents,5263,"Hire and train employees, and evaluate their performance.",4.43,3.03,unknown,0.5
11-9131.00,Postmasters and Mail Superintendents,5264,Prepare employee work schedules.,4.52,4.49,unknown,0.5
11-9131.00,Postmasters and Mail Superintendents,5265,Prepare and submit detailed and summary reports of post office activities to designated supervisors.,4.32,5.11,unknown,1.0
11-9131.00,Postmasters and Mail Superintendents,5266,Negotiate labor disputes.,3.78,3.57,unknown,0.5
11-9131.00,Postmasters and Mail Superintendents,5267,Collect rents for post office boxes.,3.37,3.6,unknown,0.0
11-9131.00,Postmasters and Mail Superintendents,5268,Issue and cash money orders.,3.44,3.58,unknown,0.0
11-9131.00,Postmasters and Mail Superintendents,5269,"Inform the public of available services, and of postal laws and regulations.",3.96,3.96,unknown,1.0
11-9131.00,Postmasters and Mail Superintendents,5270,Select and train postmasters and managers of associate postal units.,4.1,2.31,unknown,0.5
11-9131.00,Postmasters and Mail Superintendents,5271,"Confer with suppliers to obtain bids for proposed purchases and to requisition supplies, disbursing funds according to federal regulations.",3.35,2.6,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7219,"Meet with prospective tenants to show properties, explain terms of occupancy, and provide information about local areas.",3.83,3.67,augmentation,0.0
11-9141.00,"Property, Real Estate, and Community Association Managers",7220,"Direct collection of monthly assessments, rental fees, and deposits and payment of insurance premiums, mortgage, taxes, and incurred operating expenses.",4.42,3.79,none,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7221,"Inspect grounds, facilities, and equipment routinely to determine necessity of repairs or maintenance.",4.0,3.8,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7222,"Investigate complaints, disturbances, and violations and resolve problems, following management rules and regulations.",4.06,4.06,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7223,"Plan, schedule, and coordinate general maintenance, major repairs, and remodeling or construction projects for commercial or residential properties.",4.47,4.0,augmentation,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7224,"Manage and oversee operations, maintenance, administration, and improvement of commercial, industrial, or residential properties.",4.55,5.2,augmentation,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7225,"Negotiate the sale, lease, or development of property and complete or review appropriate documents and forms.",3.55,2.45,augmentation,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7226,"Maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.",3.89,3.61,automation,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7227,"Determine and certify the eligibility of prospective tenants, following government regulations.",4.0,2.92,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7228,Prepare detailed budgets and financial reports for properties.,4.63,2.58,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7229,Direct and coordinate the activities of staff and contract personnel and evaluate their performance.,4.4,4.4,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7230,"Maintain contact with insurance carriers, fire and police departments, and other agencies to ensure protection and compliance with codes and regulations.",3.78,2.44,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7231,"Market vacant space to prospective tenants through leasing agents, advertising, or other methods.",4.21,3.64,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7232,"Solicit and analyze bids from contractors for repairs, renovations, and maintenance.",3.85,3.05,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7233,Review rents to ensure that they are in line with rental markets.,4.46,3.23,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7234,"Prepare and administer contracts for provision of property services, such as cleaning, maintenance, and security services.",4.32,2.89,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7235,"Purchase building and maintenance supplies, equipment, or furniture.",3.24,3.18,unknown,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7236,Act as liaisons between on-site managers or tenants and owners.,4.06,4.0,automation,0.5
11-9141.00,"Property, Real Estate, and Community Association Managers",7237,Confer regularly with community association members to ensure their needs are being met.,4.0,3.54,unknown,0.0
