soc_code,artistic,conventional,enterprising,investigative,realistic,social
29-2051.00,2.45,3.68,2.46,3.46,3.84,5.34
29-2052.00,1.0,7.0,2.55,3.13,4.06,3.36
29-2053.00,2.09,3.63,1.38,4.63,3.43,6.71
29-2055.00,1.0,4.85,1.61,3.22,6.26,3.82
29-2056.00,1.0,4.56,1.0,5.26,6.71,3.02
29-2057.00,1.0,4.81,1.64,4.76,5.37,4.47
29-2061.00,1.07,4.57,2.13,3.67,4.58,5.51
29-2072.00,1.0,6.97,1.88,4.33,2.86,3.38
29-2081.00,1.44,5.48,3.27,2.23,4.31,3.03
29-2091.00,2.15,3.6,1.59,5.1,5.77,4.43
29-2092.00,1.79,4.21,1.81,4.37,3.67,4.74
29-2099.01,1.47,4.54,1.32,5.7,5.28,3.58
29-2099.05,1.19,4.68,2.01,4.72,5.43,4.3
29-2099.08,1.58,3.72,3.07,4.05,1.29,6.74
29-9021.00,1.19,5.96,2.2,5.18,2.48,3.8
29-9091.00,1.09,3.32,2.27,4.39,5.54,5.7
29-9092.00,2.34,3.89,2.73,5.86,1.66,5.45
29-9093.00,1.0,4.44,1.76,3.47,5.7,3.83
29-9099.01,1.78,3.57,2.69,3.88,3.78,5.99
31-1121.00,1.49,3.52,1.76,3.18,4.21,6.33
31-1122.00,1.8,3.82,2.56,1.82,3.62,6.21
31-1131.00,1.0,4.22,1.76,2.73,4.6,5.72
31-1132.00,1.0,4.43,1.22,2.21,5.49,4.34
31-1133.00,1.81,3.97,1.84,4.03,3.63,6.63
31-2011.00,2.14,3.83,1.11,3.47,3.65,6.27
31-2012.00,1.69,3.72,1.82,2.55,3.91,6.0
31-2021.00,1.53,3.78,1.35,3.65,4.46,6.41
31-2022.00,1.09,3.88,2.04,2.55,4.87,5.85
31-9011.00,2.26,2.63,2.07,3.86,4.77,5.75
31-9091.00,1.0,5.46,1.34,3.55,4.49,4.35
31-9092.00,1.0,5.76,1.98,3.8,4.06,4.81
31-9093.00,1.0,5.53,1.0,3.42,6.81,2.27
31-9094.00,1.75,6.22,1.22,3.58,2.46,3.69
31-9095.00,1.0,6.83,3.87,1.51,3.63,3.15
31-9096.00,1.0,3.94,1.0,4.24,6.31,3.49
31-9097.00,1.0,5.43,1.44,4.54,5.55,3.69
31-9099.01,2.84,4.82,1.53,4.38,2.26,5.53
31-9099.02,1.0,4.92,1.05,4.11,6.32,3.29
33-1011.00,1.0,5.01,6.42,1.81,3.47,4.58
33-1012.00,1.1,5.17,7.0,2.3,3.31,3.87
33-1021.00,1.0,4.67,6.15,2.25,5.14,3.72
33-1091.00,1.0,5.16,5.9,1.76,4.16,3.56
33-2011.00,1.3,3.46,3.01,2.91,6.52,3.4
33-2021.00,1.03,5.18,3.3,4.35,5.44,2.59
33-2022.00,1.19,4.51,3.38,3.67,6.19,3.33
33-3011.00,1.0,4.88,3.83,2.13,5.04,3.01
33-3012.00,1.01,4.7,3.21,1.71,5.35,3.89
33-3021.00,1.2,4.83,4.04,4.9,4.18,2.73
33-3021.02,1.55,5.81,3.05,3.87,4.43,2.04
33-3021.06,2.18,5.51,3.63,5.88,2.35,1.91
33-3031.00,1.0,4.36,3.02,3.9,6.36,2.33
33-3041.00,1.0,5.47,3.14,1.42,6.35,2.58
33-3051.00,1.07,4.35,4.09,2.75,5.37,3.43
33-3051.04,1.0,5.27,4.32,2.64,3.41,2.62
33-3052.00,1.0,5.06,3.28,2.42,5.87,2.55
33-9011.00,1.0,3.85,2.11,3.58,5.93,2.59
33-9021.00,1.48,5.41,4.12,3.92,2.43,2.84
33-9031.00,1.0,5.64,4.82,2.16,4.22,2.17
33-9032.00,1.0,4.87,2.95,2.2,6.2,2.78
33-9091.00,1.15,3.55,3.03,1.62,5.86,3.08
33-9092.00,1.0,3.51,2.86,2.24,6.38,4.16
33-9093.00,1.0,5.67,2.49,2.21,5.31,2.16
33-9094.00,1.73,4.72,1.91,1.54,3.49,5.25
33-9099.02,1.0,5.71,4.72,3.37,3.95,2.65
35-1011.00,2.73,4.43,5.16,1.61,4.87,2.95
35-1012.00,1.01,5.47,6.35,1.01,4.16,3.21
35-2011.00,1.86,4.69,3.45,1.26,6.12,2.5
35-2012.00,1.98,4.41,3.01,1.89,5.93,3.06
35-2013.00,3.62,3.73,3.43,1.39,5.22,3.65
35-2014.00,2.45,4.26,3.84,1.4,5.8,2.78
35-2015.00,2.32,4.36,3.53,1.0,6.11,3.2
35-2021.00,1.75,4.26,2.23,1.39,6.47,2.5
35-3011.00,2.39,4.39,3.79,1.0,4.98,3.53
35-3023.00,1.41,4.86,3.52,1.0,4.91,3.51
35-3023.01,2.6,4.28,3.48,1.0,5.08,3.74
35-3031.00,1.93,4.53,4.15,1.0,4.07,4.82
35-3041.00,2.06,3.91,2.79,1.41,5.02,4.13
35-9011.00,1.02,4.6,2.27,1.0,5.61,3.67
35-9021.00,1.0,4.45,1.42,1.0,6.98,1.84
35-9031.00,1.78,3.84,4.19,1.0,3.35,5.2
37-1011.00,1.0,5.14,5.72,1.18,4.25,3.55
37-1012.00,1.03,5.21,6.11,1.78,4.5,2.99
37-2011.00,1.0,4.52,1.6,1.09,6.76,2.08
37-2012.00,1.41,4.56,1.57,1.0,6.05,2.48
37-2021.00,1.0,4.18,2.33,3.1,6.54,1.8
37-3011.00,1.9,3.34,1.8,1.62,7.0,1.45
37-3012.00,1.06,3.58,1.52,2.84,6.37,1.93
37-3013.00,1.0,3.09,1.26,2.15,7.0,1.78
39-1013.00,1.0,5.5,5.93,1.0,3.7,3.02
39-1014.00,1.79,4.73,7.0,1.02,2.91,4.38
39-1022.00,1.29,4.98,6.75,1.08,3.37,4.02
39-2011.00,1.77,3.01,2.15,2.25,6.45,3.6
39-2021.00,1.63,3.24,1.52,2.76,6.17,3.75
39-3011.00,1.06,5.47,5.23,1.0,3.69,2.17
39-3012.00,1.02,5.97,4.99,1.0,2.78,2.92
39-3021.00,2.98,4.58,2.08,1.95,5.42,2.02
39-3031.00,1.39,4.61,4.18,1.0,3.34,4.75
39-3091.00,1.74,4.6,3.95,1.0,4.16,4.38
39-3092.00,5.89,3.85,3.07,1.0,3.57,3.45
39-3093.00,1.61,5.4,2.3,1.0,4.36,4.1
39-4011.00,1.69,3.74,2.65,2.5,5.84,3.43
39-4012.00,1.46,4.36,1.49,2.11,5.96,2.73
39-4021.00,2.02,4.15,3.32,1.01,4.65,4.17
39-4031.00,1.58,4.91,4.59,1.39,3.74,4.3
39-5011.00,2.72,3.9,3.62,1.0,5.36,3.61
39-5012.00,3.23,3.94,3.25,1.53,5.41,3.71
39-5091.00,6.84,2.69,2.96,1.49,4.39,3.04
39-5092.00,2.3,3.68,2.29,1.32,5.72,2.96
39-5093.00,1.56,3.37,2.47,1.35,5.53,3.75
39-5094.00,2.92,3.15,3.01,2.06,5.8,4.06
39-6011.00,1.0,4.77,2.67,1.0,4.87,3.56
39-6012.00,2.18,4.45,4.64,1.0,2.65,5.34
39-7011.00,3.3,2.99,3.68,2.38,3.35,5.14
39-7012.00,2.41,4.12,4.45,2.49,2.7,4.91
39-9011.00,3.52,3.61,2.92,1.3,3.35,5.94
39-9011.01,3.8,3.29,2.8,2.05,2.97,6.1
39-9031.00,2.6,2.75,3.4,2.86,4.98,5.65
39-9032.00,3.05,3.45,4.51,1.98,3.75,4.9
39-9041.00,2.29,4.53,3.77,2.46,2.63,5.45
41-1011.00,1.0,5.54,7.0,1.12,2.75,3.74
41-1012.00,1.0,5.33,7.0,1.03,1.9,4.05
41-2011.00,1.0,6.06,3.66,1.02,2.8,2.73
41-2012.00,1.07,6.48,4.22,1.0,2.96,2.47
41-2021.00,1.21,6.08,3.69,1.0,3.12,3.27
41-2022.00,1.0,5.46,4.0,1.35,5.31,2.11
41-2031.00,2.09,5.04,6.08,1.0,3.3,2.98
41-3011.00,3.54,4.73,6.71,1.47,1.06,2.89
41-3021.00,1.18,5.3,5.84,2.29,1.1,3.69
41-3031.00,1.29,5.27,6.08,2.53,1.25,3.08
41-3041.00,1.93,5.72,5.77,1.48,1.23,4.32
41-3091.00,1.44,5.09,6.71,1.94,1.09,3.73
41-4011.00,1.51,5.03,5.39,3.15,2.84,2.98
41-4011.07,1.39,4.43,5.56,2.73,3.52,2.75
41-4012.00,1.69,4.89,6.09,2.3,2.64,2.63
41-9011.00,3.23,3.65,5.32,1.8,3.43,3.16
41-9012.00,7.0,2.04,3.64,1.0,4.8,2.71
41-9021.00,1.0,5.61,6.43,1.54,2.62,2.96
41-9022.00,1.93,5.11,6.43,1.46,2.02,3.5
41-9031.00,1.79,4.49,5.81,3.66,3.16,2.87
41-9041.00,1.39,5.09,5.19,1.19,1.86,3.62
41-9091.00,2.02,4.72,5.5,1.0,3.57,2.76
43-1011.00,1.0,5.68,6.96,1.35,1.61,4.33
43-2011.00,1.0,5.96,3.18,1.39,3.6,2.91
43-2021.00,1.0,6.19,3.36,1.04,2.82,4.56
43-3011.00,1.0,7.0,4.38,1.0,2.04,3.24
43-3021.00,1.0,7.0,2.75,1.68,2.69,1.49
43-3031.00,1.0,7.0,2.89,2.17,1.65,1.47
43-3041.00,1.0,5.97,4.63,1.0,2.83,2.85
43-3051.00,1.0,7.0,3.4,1.0,1.58,2.05
43-3061.00,1.0,7.0,4.31,1.63,3.01,1.66
43-3071.00,1.0,6.89,4.19,1.43,2.29,2.43
43-4011.00,1.0,6.97,4.51,1.26,2.08,2.32
43-4021.00,1.62,6.74,3.39,2.47,1.27,2.74
43-4031.00,1.12,6.13,4.24,1.91,2.0,3.5
43-4041.00,1.0,7.0,4.47,1.85,1.0,3.39
43-4051.00,1.0,6.16,5.11,1.62,2.05,3.84
43-4061.00,1.0,6.35,3.93,2.46,1.0,4.44
43-4071.00,1.15,7.0,1.66,1.38,2.53,1.92
43-4081.00,1.33,5.71,3.81,1.0,2.62,4.48
43-4111.00,1.38,6.01,3.66,1.92,1.0,4.13
43-4121.00,1.3,6.89,2.19,2.01,2.91,3.78
43-4131.00,1.0,6.93,4.61,2.16,1.0,3.4
43-4141.00,1.0,7.0,4.66,1.76,1.54,3.55
43-4151.00,1.0,7.0,4.53,1.0,2.51,2.51
43-4161.00,1.0,7.0,3.86,1.36,1.49,3.22
43-4171.00,1.0,6.23,4.23,1.92,1.87,3.63
43-4181.00,1.27,5.66,4.02,1.0,2.12,4.36
43-5011.00,1.0,6.33,4.82,1.5,3.14,2.14
43-5011.01,1.0,5.75,3.92,2.43,3.34,1.89
43-5021.00,1.0,5.46,2.74,1.17,4.25,3.06
43-5031.00,1.0,5.54,2.9,2.88,4.25,3.6
43-5032.00,1.0,5.39,2.9,1.42,5.28,2.68
43-5041.00,1.0,6.66,1.38,2.56,4.66,2.2
43-5051.00,1.0,6.51,2.69,1.0,3.25,2.54
43-5052.00,1.0,6.4,2.86,1.0,3.57,2.64
43-5053.00,1.0,5.91,1.66,1.54,4.6,1.83
43-5061.00,1.15,5.92,4.9,1.2,3.11,2.1
43-5071.00,1.0,7.0,3.16,1.26,3.83,1.45
43-5111.00,1.0,6.47,1.73,2.4,5.29,1.0
43-6011.00,1.38,6.39,5.56,1.9,1.26,3.98
43-6012.00,1.59,6.61,4.28,3.16,1.52,3.01
43-6013.00,1.0,6.66,3.16,3.05,2.38,4.14
43-6014.00,1.0,6.97,4.2,1.37,1.98,3.62
43-9021.00,1.0,7.0,1.8,2.34,2.92,1.23
43-9022.00,2.22,6.6,1.92,1.93,2.87,2.27
43-9031.00,4.7,5.32,1.87,2.75,3.36,1.79
43-9041.00,1.0,7.0,3.85,2.42,1.16,2.58
43-9051.00,1.0,6.35,2.17,1.0,3.99,2.03
43-9061.00,1.0,6.83,3.19,1.85,2.92,3.07
43-9071.00,1.21,6.71,1.97,2.06,4.53,1.64
43-9081.00,3.47,6.12,1.46,2.51,1.63,2.2
43-9111.00,1.0,7.0,1.72,4.53,2.53,1.36
45-1011.00,1.0,4.65,6.01,2.23,5.54,2.88
45-2011.00,1.0,5.15,3.13,4.06,5.33,1.9
45-2021.00,1.43,3.58,2.07,3.24,6.47,2.35
45-2041.00,1.66,4.99,2.14,2.4,5.64,1.53
45-2091.00,1.0,3.67,1.35,2.5,7.0,1.0
45-2092.00,1.29,3.35,2.37,2.32,7.0,1.85
45-2093.00,1.42,2.95,1.92,2.66,6.78,2.5
45-3031.00,1.0,3.49,1.88,2.24,7.0,1.03
45-4011.00,1.03,4.31,2.83,3.53,6.96,2.59
45-4021.00,1.13,3.32,1.57,2.48,7.0,1.92
45-4022.00,1.0,4.4,1.09,1.82,6.84,1.1
45-4023.00,1.0,6.31,1.76,2.37,4.98,1.1
47-1011.00,1.0,4.98,5.89,1.99,4.97,2.81
47-1011.03,1.27,4.19,4.85,2.65,5.86,1.74
47-2011.00,1.0,3.66,1.0,2.27,7.0,1.0
47-2021.00,1.64,3.95,1.24,2.06,6.84,1.16
47-2022.00,2.92,3.02,1.29,2.15,7.0,1.83
47-2031.00,2.19,3.46,1.79,1.9,6.74,1.9
47-2041.00,1.72,3.71,1.0,1.34,7.0,1.3
47-2042.00,1.83,3.68,1.0,1.39,7.0,1.57
47-2043.00,1.34,3.26,1.6,1.36,7.0,1.45
47-2044.00,2.57,3.57,1.0,1.39,7.0,1.29
47-2051.00,1.68,3.25,1.0,2.28,7.0,1.0
47-2053.00,1.75,3.53,1.0,1.82,7.0,1.0
47-2061.00,1.38,3.61,1.35,2.68,7.0,1.23
47-2071.00,1.0,3.71,1.0,1.72,7.0,1.0
47-2072.00,1.0,3.61,1.15,1.94,7.0,1.02
47-2073.00,1.0,3.88,1.25,2.93,7.0,1.14
47-2081.00,2.3,3.12,1.0,1.95,7.0,1.18
47-2082.00,1.72,3.51,1.09,1.69,6.39,1.49
47-2111.00,1.28,4.22,1.85,2.67,7.0,1.26
47-2121.00,2.2,3.33,1.58,2.0,6.55,1.63
47-2131.00,1.25,3.77,1.0,1.66,7.0,1.0
47-2132.00,1.0,4.23,1.0,2.41,6.92,1.25
47-2141.00,2.74,3.35,1.0,1.54,7.0,1.26
47-2142.00,2.99,3.87,1.12,1.0,5.91,1.55
47-2151.00,1.0,3.53,1.07,2.41,7.0,1.28
47-2152.00,1.0,3.86,1.0,2.23,7.0,1.27
47-2152.04,1.13,3.66,1.6,2.69,7.0,1.7
47-2161.00,2.43,3.36,1.11,1.48,7.0,1.33
47-2171.00,1.2,3.68,1.33,2.24,7.0,1.15
47-2181.00,1.24,3.41,1.55,1.2,7.0,1.48
47-2211.00,1.64,3.57,1.0,2.06,7.0,1.0
47-2221.00,1.45,3.55,1.26,2.8,7.0,1.18
47-2231.00,1.35,4.06,1.68,2.65,7.0,1.28
47-3011.00,1.49,3.39,1.0,1.41,7.0,1.91
47-3012.00,1.35,3.54,1.67,1.26,6.95,2.06
47-3013.00,1.0,3.98,1.0,2.14,7.0,2.1
47-3014.00,1.78,3.47,1.36,1.11,6.52,2.43
47-3015.00,1.0,3.7,1.36,1.3,6.84,1.8
47-3016.00,1.0,3.61,1.41,1.0,6.95,1.96
47-4011.00,1.11,5.46,2.1,4.11,6.36,1.42
47-4011.01,1.0,5.93,3.34,4.17,4.53,1.89
47-4021.00,1.06,3.78,1.17,2.42,7.0,1.38
47-4031.00,1.39,3.66,1.0,2.13,7.0,1.35
47-4041.00,1.0,4.28,1.18,2.6,7.0,1.45
47-4051.00,1.12,3.55,1.49,1.72,7.0,1.74
47-4061.00,1.0,4.11,1.0,1.7,7.0,1.0
47-4071.00,1.0,4.28,1.22,2.11,7.0,1.48
47-4091.00,1.96,3.42,1.3,1.6,6.71,1.36
47-4099.03,1.5,4.49,2.19,3.22,6.01,2.31
47-5011.00,1.0,3.64,1.64,2.54,7.0,1.01
47-5012.00,1.0,3.78,2.2,3.05,7.0,1.16
47-5013.00,1.0,4.17,1.84,2.55,7.0,1.17
47-5022.00,1.0,3.55,1.0,2.4,7.0,1.0
47-5023.00,1.14,3.69,1.7,3.58,7.0,1.18
47-5032.00,1.25,4.18,1.82,3.77,6.89,1.3
47-5041.00,1.0,3.92,1.37,2.47,7.0,1.08
47-5043.00,1.0,3.47,1.02,2.64,7.0,1.0
47-5044.00,1.0,3.78,1.0,2.19,7.0,1.0
47-5051.00,1.75,3.21,1.17,2.08,6.96,1.25
47-5071.00,1.0,3.71,1.0,1.81,7.0,1.0
47-5081.00,1.0,3.69,1.57,2.14,7.0,1.77
49-1011.00,1.0,4.84,5.75,1.88,4.46,3.41
49-2011.00,1.0,5.36,1.57,2.81,6.12,1.57
49-2021.00,1.06,4.53,1.36,3.45,6.69,1.37
49-2022.00,1.0,4.74,1.59,2.42,6.49,1.81
49-2091.00,1.24,4.69,1.0,4.16,7.0,1.34
49-2092.00,1.0,4.09,1.06,2.78,7.0,1.14
49-2093.00,1.0,4.81,1.02,3.37,7.0,1.16
49-2094.00,1.0,5.34,1.11,4.03,7.0,1.0
49-2095.00,1.0,5.27,1.3,3.52,7.0,1.07
49-2096.00,1.0,4.55,1.0,3.54,7.0,1.2
49-2097.00,1.55,4.76,1.12,2.72,6.79,1.6
49-2098.00,1.03,4.86,1.62,3.3,6.67,1.39
49-3011.00,1.0,4.68,1.83,3.74,6.85,1.3
49-3021.00,1.44,3.43,1.38,1.78,7.0,1.0
49-3022.00,1.0,3.74,1.4,2.21,7.0,1.25
49-3023.00,1.0,4.33,1.59,3.57,7.0,1.44
49-3031.00,1.0,3.73,1.3,3.28,7.0,1.53
49-3041.00,1.0,4.1,1.01,3.12,7.0,1.35
49-3042.00,1.0,4.2,1.0,3.55,7.0,1.0
49-3043.00,1.22,4.17,1.24,2.69,7.0,1.39
49-3051.00,1.0,3.97,1.67,2.78,7.0,1.09
49-3052.00,1.18,3.58,1.0,3.1,7.0,1.44
49-3053.00,1.0,4.18,1.24,2.68,7.0,1.08
49-3091.00,1.15,3.61,1.85,1.76,7.0,1.74
49-3092.00,1.0,4.01,1.28,2.61,7.0,1.62
49-3093.00,1.0,3.43,1.57,1.76,7.0,1.76
49-9011.00,1.0,3.83,1.0,1.75,6.88,1.49
49-9012.00,1.0,4.75,1.0,2.85,7.0,1.19
49-9021.00,1.0,4.48,1.35,2.74,6.92,1.5
49-9031.00,1.0,5.0,1.48,2.12,7.0,1.65
49-9041.00,1.0,4.38,1.16,2.98,7.0,1.0
49-9043.00,1.0,4.48,1.2,2.15,7.0,1.0
49-9044.00,1.84,3.59,1.09,2.53,7.0,1.0
49-9045.00,1.31,3.55,1.0,2.2,7.0,1.02
49-9051.00,1.0,3.67,1.72,2.63,7.0,1.19
49-9052.00,1.0,4.16,2.11,2.42,6.42,1.6
49-9061.00,1.97,4.58,1.0,2.67,7.0,1.2
49-9062.00,1.0,5.2,1.0,4.59,7.0,1.81
49-9063.00,3.55,3.38,1.0,2.59,6.42,1.66
49-9064.00,1.23,4.62,1.3,1.97,6.44,1.47
49-9071.00,1.21,4.16,1.53,2.51,7.0,1.78
49-9081.00,1.0,4.3,1.78,3.57,7.0,1.61
49-9091.00,1.0,5.71,1.89,1.8,6.08,1.23
49-9092.00,1.35,3.1,1.66,3.6,7.0,1.1
49-9094.00,1.08,4.69,1.34,2.18,6.09,1.57
49-9095.00,1.52,3.9,1.17,1.9,6.83,1.71
49-9096.00,1.36,3.7,1.87,2.39,7.0,1.0
49-9097.00,1.0,4.54,1.0,2.67,6.46,1.17
49-9098.00,1.1,4.03,1.63,1.96,6.99,1.81
49-9099.01,1.0,4.99,1.78,3.44,6.38,1.68
51-1011.00,1.0,5.34,6.17,1.52,4.33,2.87
51-2011.00,1.74,3.75,1.35,2.65,7.0,1.0
51-2021.00,1.0,4.17,1.4,2.28,6.54,1.12
51-2022.00,1.82,4.3,1.0,3.33,7.0,1.24
51-2023.00,1.41,4.98,1.0,3.35,7.0,1.06
51-2031.00,1.27,4.47,1.06,2.85,7.0,1.0
51-2041.00,1.64,3.81,1.06,2.66,7.0,1.0
51-2051.00,2.22,3.49,1.15,2.03,6.74,1.0
51-2061.00,1.19,4.61,1.14,2.12,6.74,1.0
51-2092.00,1.6,4.64,3.9,1.41,5.36,2.4
51-3011.00,2.23,4.42,2.1,1.67,6.37,1.75
51-3021.00,1.77,3.82,2.76,1.44,6.3,1.84
51-3022.00,1.0,4.03,1.45,1.84,7.0,1.34
51-3023.00,1.39,3.53,2.12,2.22,6.58,1.71
51-3091.00,1.1,4.18,1.82,1.59,6.84,1.27
51-3092.00,2.03,4.45,2.75,2.1,6.02,1.47
51-3093.00,1.05,4.21,1.63,1.8,7.0,1.4
51-4021.00,1.43,4.31,1.0,2.23,6.69,1.09
51-4022.00,1.02,4.27,1.07,2.56,6.75,1.0
51-4023.00,1.0,4.07,1.0,1.69,6.84,1.0
51-4031.00,1.3,3.9,1.0,2.12,6.87,1.0
51-4032.00,1.0,4.27,1.0,2.75,7.0,1.0
51-4033.00,1.18,3.9,1.0,2.15,7.0,1.0
51-4034.00,1.0,4.13,1.0,1.96,7.0,1.0
51-4035.00,1.19,4.21,1.0,2.24,7.0,1.0
51-4041.00,1.93,4.42,1.23,3.7,7.0,1.16
51-4051.00,1.02,3.95,1.11,2.73,6.8,1.04
51-4052.00,1.19,3.57,1.0,2.44,7.0,1.13
51-4061.00,2.82,3.85,1.0,3.12,6.95,1.05
51-4062.00,3.05,4.65,1.0,1.8,6.23,1.0
51-4071.00,2.19,3.28,1.0,2.35,6.8,1.13
51-4072.00,1.49,4.13,1.05,2.41,7.0,1.06
51-4081.00,1.0,4.61,1.0,2.15,7.0,1.04
51-4111.00,1.58,4.51,1.0,2.91,7.0,1.0
51-4121.00,1.5,3.78,1.63,2.17,7.0,1.1
51-4122.00,1.25,3.88,1.39,2.11,7.0,1.14
51-4191.00,1.0,4.07,1.0,2.2,6.82,1.56
51-4192.00,2.77,3.95,1.0,2.64,6.43,1.03
51-4193.00,1.41,4.1,1.0,2.23,7.0,1.0
51-4194.00,1.33,4.32,1.0,2.14,7.0,1.0
51-5111.00,3.09,5.76,1.45,2.0,4.87,1.56
51-5112.00,1.69,5.65,1.93,1.33,4.74,1.66
51-5113.00,2.28,5.05,1.23,1.31,5.34,1.46
51-6011.00,1.25,4.25,1.48,1.03,6.36,1.32
51-6021.00,2.54,3.67,1.0,1.42,6.16,1.13
51-6031.00,1.71,3.92,1.17,1.38,6.74,1.19
51-6041.00,3.25,2.95,1.49,1.6,6.83,1.32
51-6042.00,1.36,4.16,1.53,1.93,6.65,1.37
51-6051.00,2.89,3.23,1.26,1.0,6.28,1.62
51-6052.00,4.0,2.98,2.19,1.07,6.11,1.97
51-6061.00,1.15,4.29,1.11,2.15,6.81,1.21
51-6062.00,1.5,4.52,1.68,1.57,6.35,1.2
51-6063.00,1.65,4.29,1.4,1.75,6.85,1.04
51-6064.00,1.33,4.32,1.53,1.48,6.5,1.0
51-6091.00,1.27,4.05,1.41,2.21,6.5,1.22
51-6092.00,5.46,4.31,1.5,1.28,5.52,1.37
51-6093.00,3.1,2.94,1.0,1.88,6.88,1.34
51-7011.00,2.43,3.56,1.21,2.07,7.0,1.14
51-7021.00,2.81,2.92,1.0,1.44,7.0,1.27
51-7031.00,3.86,3.99,1.55,2.59,7.0,1.35
51-7032.00,3.87,4.0,1.24,2.09,6.69,1.24
51-7041.00,1.0,4.13,1.0,2.33,7.0,1.13
51-7042.00,1.15,4.15,1.03,2.43,7.0,1.18
51-8011.00,1.0,5.15,2.7,3.25,5.24,2.17
51-8012.00,1.0,5.08,3.0,2.51,5.16,1.95
51-8013.00,1.0,5.08,1.96,2.64,6.63,1.38
51-8013.03,1.0,4.82,1.75,3.12,6.97,1.22
51-8013.04,1.0,4.68,1.77,3.28,7.0,1.21
51-8021.00,1.0,4.65,1.25,3.24,7.0,1.09
51-8031.00,1.0,4.64,1.46,2.71,6.84,1.52
51-8091.00,1.0,5.23,1.67,3.26,6.27,1.32
51-8092.00,1.0,5.29,2.22,2.63,6.61,1.46
51-8093.00,1.0,5.06,2.22,2.48,6.17,1.3
51-8099.01,1.0,5.33,2.13,3.28,5.87,1.0
51-9011.00,1.0,4.83,1.27,3.32,6.65,1.05
51-9012.00,1.0,4.47,1.09,2.29,6.27,1.1
51-9021.00,1.0,4.33,1.22,2.16,7.0,1.0
51-9022.00,1.69,3.32,1.0,1.39,7.0,1.09
51-9023.00,1.22,4.21,1.18,2.11,6.49,1.04
51-9031.00,2.19,3.75,1.0,1.22,6.24,1.13
51-9032.00,1.12,4.17,1.22,1.52,6.7,1.0
51-9041.00,1.28,4.3,1.25,2.23,6.54,1.04
51-9051.00,1.0,4.53,1.22,2.17,6.89,1.25
51-9061.00,1.0,5.36,1.38,3.42,5.73,1.0
51-9071.00,3.81,3.3,1.6,2.58,6.54,1.04
51-9071.06,2.88,4.12,2.12,3.08,5.47,1.15
51-9081.00,1.45,4.22,1.0,4.47,6.68,2.67
51-9082.00,1.55,3.68,1.0,4.06,7.0,3.12
51-9083.00,1.63,4.15,1.24,2.91,6.45,1.88
51-9111.00,1.0,4.97,1.85,1.24,6.56,1.01
51-9123.00,3.42,3.41,1.0,1.35,6.93,1.56
51-9124.00,2.11,3.64,1.05,1.49,6.98,1.23
51-9141.00,1.0,5.14,1.45,3.07,6.42,1.11
51-9151.00,3.15,5.23,1.3,2.01,5.37,1.15
51-9161.00,1.14,5.44,1.43,2.82,6.4,1.0
51-9162.00,1.41,6.19,1.71,3.78,4.62,1.61
51-9191.00,1.14,4.25,1.12,1.97,6.54,1.0
51-9192.00,1.0,4.45,1.0,1.77,7.0,1.0
51-9193.00,1.0,4.47,1.03,2.38,7.0,1.36
51-9194.00,3.26,3.58,1.0,2.53,6.82,1.3
51-9195.00,2.14,4.29,1.0,2.25,6.62,1.0
51-9195.03,3.79,3.46,1.0,1.75,7.0,1.24
51-9195.04,1.53,4.74,1.5,2.46,6.77,1.13
51-9195.05,2.27,3.53,1.26,1.64,6.98,1.01
51-9196.00,1.26,4.54,1.45,1.72,6.53,1.0
51-9197.00,1.0,3.79,1.0,2.3,7.0,1.1
51-9198.00,1.21,4.16,1.7,1.1,6.51,1.68
53-1041.00,1.0,4.79,5.37,2.19,4.6,2.47
53-1042.00,1.0,5.01,5.9,1.24,4.09,3.54
53-1042.01,1.0,4.57,4.77,2.25,4.0,3.37
53-1043.00,1.0,4.9,5.01,1.8,4.98,2.39
53-1044.00,1.0,5.23,6.52,1.05,2.6,4.08
53-2011.00,1.43,4.69,3.79,3.17,4.74,2.49
53-2012.00,1.18,4.58,3.88,2.62,4.84,2.58
53-2021.00,1.0,4.84,4.21,2.53,4.74,2.64
53-2022.00,1.0,5.03,4.48,3.51,4.73,2.49
53-2031.00,1.08,4.57,3.47,2.02,4.29,4.1
53-3011.00,1.0,3.59,1.54,2.53,6.38,4.63
53-3031.00,1.0,4.42,3.44,1.0,5.65,2.46
53-3032.00,1.0,4.37,1.33,1.93,7.0,1.32
53-3033.00,1.0,4.55,2.3,1.44,6.65,1.43
53-3051.00,1.24,4.59,2.16,1.6,5.64,4.38
53-3052.00,1.0,4.43,2.85,1.0,5.89,3.66
53-3053.00,1.0,4.17,2.2,1.0,6.43,3.07
53-3054.00,1.0,4.81,2.48,1.12,5.75,2.78
53-4011.00,1.0,4.55,2.12,3.45,6.76,1.94
53-4013.00,1.0,4.22,1.91,2.31,7.0,1.61
53-4022.00,1.0,4.23,1.43,2.08,7.0,1.21
53-4031.00,1.0,4.87,3.77,1.97,5.8,1.85
53-4041.00,1.0,4.34,2.22,1.32,6.27,2.69
53-5011.00,1.0,3.95,2.42,2.62,6.98,1.25
53-5021.00,1.0,4.56,4.23,2.64,5.61,1.88
53-5022.00,1.1,3.55,3.2,2.22,6.53,1.88
53-5031.00,1.0,4.7,3.68,3.55,6.57,1.76
53-6011.00,1.0,4.36,2.63,2.46,6.18,1.74
